Site,Variable,Model,mean_sdev,mean_coef
JP-Yoyogi,Qh,LI_LCZ,0.8905305229748219,0.8067322812527976
JP-Yoyogi,Qh,CESM_LCZ,0.8851421686439549,0.8099729154229318
JP-Yoyogi,Qle,CNTL,0.7549541057221286,0.46653584316099383
JP-Yoyogi,Qle,WRF_LCZ,0.7399532485906227,0.4728678193433025
JP-Yoyogi,Qle,LI_LCZ,0.7350143781854593,0.4728844323119158
JP-Yoyogi,Qle,CESM_LCZ,0.7347998983079281,0.4715145422442628
JP-Yoyogi,Qtau,CNTL,,
JP-Yoyogi,Qtau,WRF_LCZ,,
JP-Yoyogi,Qtau,LI_LCZ,,
JP-Yoyogi,Qtau,CESM_LCZ,,
KR-Jungnang,Rn,CNTL,0.9226162085206011,0.9951849698731547
KR-Jungnang,Rn,WRF_LCZ,0.9723800748288999,0.9979727407936566
KR-Jungnang,Rn,LI_LCZ,0.9827987199226682,0.9979088852467227
KR-Jungnang,Rn,CESM_LCZ,0.9831229758599939,0.9980493986613784
KR-Jungnang,SWup,CNTL,0.9210079041534307,0.9824736310190317
KR-Jungnang,SWup,WRF_LCZ,0.9210518043812203,0.9824752523483047
KR-Jungnang,SWup,LI_LCZ,0.9210372740607848,0.982476313352759
KR-Jungnang,SWup,CESM_LCZ,0.9210713761618137,0.9824690118346274
KR-Jungnang,LWup,CNTL,1.207838640679753,0.9783062114356141
KR-Jungnang,LWup,WRF_LCZ,1.1119300535035477,0.9922162600308337
KR-Jungnang,LWup,LI_LCZ,1.100833529356509,0.9923281285195324
KR-Jungnang,LWup,CESM_LCZ,1.0901585786916155,0.9921518269346133
KR-Jungnang,Qh,CNTL,1.1131046910226832,0.8101240479149985
KR-Jungnang,Qh,WRF_LCZ,0.9107521985471236,0.8005496699988419
KR-Jungnang,Qh,LI_LCZ,0.8428042454700665,0.7874513013599683
KR-Jungnang,Qh,CESM_LCZ,0.8391391287321172,0.78854058265662
KR-Jungnang,Qle,CNTL,0.7454710356651711,0.34180421077549006
KR-Jungnang,Qle,WRF_LCZ,0.7004722311371877,0.3481995532245957
KR-Jungnang,Qle,LI_LCZ,0.6936727856272639,0.3473138905721783
KR-Jungnang,Qle,CESM_LCZ,0.6940577138353151,0.3459565457662664
KR-Jungnang,Qtau,CNTL,,
KR-Jungnang,Qtau,WRF_LCZ,,
KR-Jungnang,Qtau,LI_LCZ,,
KR-Jungnang,Qtau,CESM_LCZ,,
KR-Ochang,Rn,CNTL,0.9819310646529895,0.9954022413726056
KR-Ochang,Rn,WRF_LCZ,0.9891849073769202,0.9955035277655071
KR-Ochang,Rn,LI_LCZ,0.9918862369053979,0.9955231810712606
KR-Ochang,Rn,CESM_LCZ,0.9916087123492369,0.9955106486967944
KR-Ochang,SWup,CNTL,0.9952753573811259,0.9464145267900255
KR-Ochang,SWup,WRF_LCZ,0.9952551754249434,0.946403158147415
KR-Ochang,SWup,LI_LCZ,0.9952480169946399,0.9463982249145664
KR-Ochang,SWup,CESM_LCZ,0.9952286370890843,0.9463835344535169
KR-Ochang,LWup,CNTL,1.045797967943265,0.9891378099885858
KR-Ochang,LWup,WRF_LCZ,1.0373558690557823,0.9892053549872042
KR-Ochang,LWup,LI_LCZ,1.0343169267682553,0.9891807913926796
KR-Ochang,LWup,CESM_LCZ,1.032439795117553,0.9891513159177736
KR-Ochang,Qh,CNTL,0.7856039770355134,0.8457227245908814
KR-Ochang,Qh,WRF_LCZ,0.7828481422446142,0.8400758251761912
KR-Ochang,Qh,LI_LCZ,0.7810893032530051,0.8385975790040698
KR-Ochang,Qh,CESM_LCZ,0.7841835965022318,0.8398140021657755
KR-Ochang,Qle,CNTL,1.2063164342025954,0.6958163155196665
KR-Ochang,Qle,WRF_LCZ,1.2019833060901903,0.6921165739195959
KR-Ochang,Qle,LI_LCZ,1.200930358999943,0.6917406675360119
KR-Ochang,Qle,CESM_LCZ,1.1967580032375351,0.6888609555921592
KR-Ochang,Qtau,CNTL,,
KR-Ochang,Qtau,WRF_LCZ,,
KR-Ochang,Qtau,LI_LCZ,,
KR-Ochang,Qtau,CESM_LCZ,,
MX-Escandon,Rn,CNTL,,
MX-Escandon,Rn,WRF_LCZ,,
MX-Escandon,Rn,LI_LCZ,,
MX-Escandon,Rn,CESM_LCZ,,
MX-Escandon,SWup,CNTL,1.0908103827881006,0.9833929633850984
MX-Escandon,SWup,WRF_LCZ,1.0908103827881006,0.9833929633850984
MX-Escandon,SWup,LI_LCZ,1.0908103827881006,0.9833929633850984
MX-Escandon,SWup,CESM_LCZ,1.0908103827881006,0.9833929633850984
MX-Escandon,LWup,CNTL,,
MX-Escandon,LWup,WRF_LCZ,,
MX-Escandon,LWup,LI_LCZ,,
MX-Escandon,LWup,CESM_LCZ,,
MX-Escandon,Qh,CNTL,1.3290612227436989,0.8370207709957974
MX-Escandon,Qh,WRF_LCZ,1.010473430296852,0.8031507596029731
MX-Escandon,Qh,LI_LCZ,1.0369689950291239,0.8067999419659486
MX-Escandon,Qh,CESM_LCZ,1.0389266391416851,0.8071174148144985
MX-Escandon,Qle,CNTL,0.8523521537791556,0.28845322142021973
MX-Escandon,Qle,WRF_LCZ,0.7474523458802265,0.2964320007095761
MX-Escandon,Qle,LI_LCZ,0.7525969129653702,0.29670425006077356
MX-Escandon,Qle,CESM_LCZ,0.7527315521038482,0.29671886513209306
MX-Escandon,Qtau,CNTL,0.1354277306189777,0.6975979488126582
MX-Escandon,Qtau,WRF_LCZ,0.1369455584275322,0.7070551154823737
MX-Escandon,Qtau,LI_LCZ,0.13711852959656942,0.7081285567928315
MX-Escandon,Qtau,CESM_LCZ,0.13713241444905785,0.7080863654950597
NL-Amsterdam,Rn,CNTL,0.9524819378716369,0.9991686415997053
NL-Amsterdam,Rn,WRF_LCZ,0.9912108600942351,0.9991348273673654
NL-Amsterdam,Rn,LI_LCZ,0.9978597334625838,0.9990952549996004
NL-Amsterdam,Rn,CESM_LCZ,0.9985206287687571,0.9991450242102357
NL-Amsterdam,SWup,CNTL,0.9399346017560977,0.9856853718174632
NL-Amsterdam,SWup,WRF_LCZ,0.9401294358475489,0.9856692888986655
NL-Amsterdam,SWup,LI_LCZ,0.9401004215095826,0.9856727959312576
NL-Amsterdam,SWup,CESM_LCZ,0.9401894400971844,0.9856589571950253
NL-Amsterdam,LWup,CNTL,1.1932459727852196,0.9789014829134248
NL-Amsterdam,LWup,WRF_LCZ,1.0714100362008017,0.9898438878909833
NL-Amsterdam,LWup,LI_LCZ,1.0555814850881295,0.9897228959138731
NL-Amsterdam,LWup,CESM_LCZ,1.0415809539270553,0.9897780071045323
NL-Amsterdam,Qh,CNTL,0.9815855456462635,0.861062407831983
NL-Amsterdam,Qh,WRF_LCZ,0.857567946684998,0.845804147668044
NL-Amsterdam,Qh,LI_LCZ,0.812662507410674,0.8345950645041125
NL-Amsterdam,Qh,CESM_LCZ,0.7959992291857758,0.8405194614066435
NL-Amsterdam,Qle,CNTL,0.9175413523400885,0.654536115027437
NL-Amsterdam,Qle,WRF_LCZ,0.875790670567347,0.6548805311405773
NL-Amsterdam,Qle,LI_LCZ,0.8667964552223606,0.6538799517226046
NL-Amsterdam,Qle,CESM_LCZ,0.8595263833052166,0.6542372463898682
NL-Amsterdam,Qtau,CNTL,0.3506365947067678,0.7260230947681683
NL-Amsterdam,Qtau,WRF_LCZ,0.3441136795248163,0.7202192398350409
NL-Amsterdam,Qtau,LI_LCZ,0.342079663934041,0.7181064502835255
NL-Amsterdam,Qtau,CESM_LCZ,0.34204160549411683,0.7223143738176634
PL-Lipowa,Rn,CNTL,0.9161276394323391,0.9935374633329489
PL-Lipowa,Rn,WRF_LCZ,0.9522778273961955,0.9929791225428278
PL-Lipowa,Rn,LI_LCZ,0.9566410918719497,0.9931321036590892
PL-Lipowa,Rn,CESM_LCZ,0.9572600997614477,0.9931027021555617
PL-Lipowa,SWup,CNTL,0.970639713498945,0.8581945416195691
PL-Lipowa,SWup,WRF_LCZ,0.9690805500541644,0.8591300818871915
PL-Lipowa,SWup,LI_LCZ,0.9692080052988925,0.8592284397422593
PL-Lipowa,SWup,CESM_LCZ,0.9687190469890657,0.858616005083297
PL-Lipowa,LWup,CNTL,1.0235546347174833,0.9663604849935095
PL-Lipowa,LWup,WRF_LCZ,0.9683371140751386,0.9784213100007769
PL-Lipowa,LWup,LI_LCZ,0.9636643305688473,0.9801073930895559
PL-Lipowa,LWup,CESM_LCZ,0.957955608900062,0.9800418518807449
PL-Lipowa,Qh,CNTL,1.1413323729714122,0.8465823086932537
PL-Lipowa,Qh,WRF_LCZ,1.0218957970586455,0.8223471145953009
PL-Lipowa,Qh,LI_LCZ,0.9951995230916099,0.8142200263354887
PL-Lipowa,Qh,CESM_LCZ,0.9788140754738984,0.8195247773528349
PL-Lipowa,Qle,CNTL,0.7032037114402075,0.5555136486085055
PL-Lipowa,Qle,WRF_LCZ,0.688059349769359,0.5569866822688962
PL-Lipowa,Qle,LI_LCZ,0.6865594853949207,0.556324038239821
PL-Lipowa,Qle,CESM_LCZ,0.682614814180219,0.553608828021327
PL-Lipowa,Qtau,CNTL,,
PL-Lipowa,Qtau,WRF_LCZ,,
PL-Lipowa,Qtau,LI_LCZ,,
PL-Lipowa,Qtau,CESM_LCZ,,
PL-Narutowicza,Rn,CNTL,0.9632660785154317,0.9968408460229805
PL-Narutowicza,Rn,WRF_LCZ,0.9913134387058128,0.9969293216890378
PL-Narutowicza,Rn,LI_LCZ,0.9951956907269802,0.9969448404339519
PL-Narutowicza,Rn,CESM_LCZ,0.9957087450657784,0.9969591992232095
PL-Narutowicza,SWup,CNTL,0.998979621514975,0.9465155320101931
PL-Narutowicza,SWup,WRF_LCZ,0.9969038675550503,0.9463298021031512
PL-Narutowicza,SWup,LI_LCZ,0.9975574292126526,0.9464461142346365
PL-Narutowicza,SWup,CESM_LCZ,0.9950430754793371,0.9448924384760217
PL-Narutowicza,LWup,CNTL,1.0136144301501264,0.9728066731561565
PL-Narutowicza,LWup,WRF_LCZ,0.9704891240033182,0.9757116146424397
PL-Narutowicza,LWup,LI_LCZ,0.9658589076595455,0.9758208407534803
PL-Narutowicza,LWup,CESM_LCZ,0.9604417759943641,0.9758859910397641
PL-Narutowicza,Qh,CNTL,0.964528726733439,0.8555852166383363
PL-Narutowicza,Qh,WRF_LCZ,0.8928568797456611,0.8245062502848726
PL-Narutowicza,Qh,LI_LCZ,0.8696165389026178,0.8077478309656011
PL-Narutowicza,Qh,CESM_LCZ,0.8564499055128537,0.8137527904855414
PL-Narutowicza,Qle,CNTL,0.6810551107885151,0.5310133053192061
PL-Narutowicza,Qle,WRF_LCZ,0.6787166458270889,0.5294605470981214
PL-Narutowicza,Qle,LI_LCZ,0.6775224696638258,0.5291107516950617
PL-Narutowicza,Qle,CESM_LCZ,0.6720347463827078,0.5279979781362005
